UniProt_Id                                                                                          ,Gene_Symbol                                                                                         ,Protein_Name                                                                                                                                                                                                                                                    ,Gene_Names                                                                                                                                                                                                                                                      ,Accession                                         ,PsmSum     ,MeanPsm             ,PsmPresent ,PctPresent          
Q9NUJ3                                                                                              ,T11L1                                                                                               ,T-complex protein 11-like protein 1                                                                                                                                                                                                                             ,TCP11L1                                                                                                                                                                                                                                                         ,Q9NUJ3                                            ,        119,                 .38,         78,               25.08
P02788                                                                                              ,TRFL                                                                                                ,Lactotransferrin                                                                                                                                                                                                                                                ,LTF                                                                                                                                                                                                                                                             ,P02788                                            ,        615,                1.98,         77,               24.76
Q06830                                                                                              ,PRDX1                                                                                               ,Peroxiredoxin-1                                                                                                                                                                                                                                                 ,PRDX1                                                                                                                                                                                                                                                           ,Q06830                                            ,        284,                 .91,         77,               24.76
Q5VTQ0                                                                                              ,TT39B                                                                                               ,Tetratricopeptide repeat protein 39B                                                                                                                                                                                                                            ,TTC39B                                                                                                                                                                                                                                                          ,Q5VTQ0                                            ,        115,                 .37,         76,               24.44
O95153                                                                                              ,RIMB1                                                                                               ,Peripheral-type benzodiazepine receptor-associated protein 1                                                                                                                                                                                                    ,TSPOAP1                                                                                                                                                                                                                                                         ,O95153                                            ,        186,                 .60,         76,               24.44
Q9Y646                                                                                              ,CBPQ                                                                                                ,Carboxypeptidase Q                                                                                                                                                                                                                                              ,CPQ                                                                                                                                                                                                                                                             ,Q9Y646                                            ,        126,                 .41,         76,               24.44
Q9BRK5                                                                                              ,CAB45                                                                                               ,45 kDa calcium-binding protein                                                                                                                                                                                                                                  ,SDF4                                                                                                                                                                                                                                                            ,Q9BRK5                                            ,         98,                 .32,         76,               24.44
Q96JC1                                                                                              ,VPS39                                                                                               ,Vam6/Vps39-like protein                                                                                                                                                                                                                                         ,VPS39                                                                                                                                                                                                                                                           ,Q96JC1                                            ,        109,                 .35,         75,               24.12
O15195                                                                                              ,VILL                                                                                                ,Villin-like protein                                                                                                                                                                                                                                             ,VILL                                                                                                                                                                                                                                                            ,O15195                                            ,        116,                 .37,         75,               24.12
P13473                                                                                              ,LAMP2                                                                                               ,Lysosome-associated membrane glycoprotein 2                                                                                                                                                                                                                     ,LAMP2                                                                                                                                                                                                                                                           ,P13473                                            ,        133,                 .43,         75,               24.12
