UniProt_Id                                                                                          ,Gene_Symbol                                                                                         ,Protein_Name                                                                                                                                                                                                                                                    ,Gene_Names                                                                                                                                                                                                                                                      ,Accession                                         ,PsmSum     ,MeanPsm             ,PsmPresent ,PctPresent          
----------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------,-----------,--------------------,-----------,--------------------
P01009                                                                                              ,A1AT                                                                                                ,Alpha-1-antitrypsin                                                                                                                                                                                                                                             ,SERPINA1                                                                                                                                                                                                                                                        ,P01009                                            ,      76260,              245.21,        303,               97.43
P01011                                                                                              ,AACT                                                                                                ,Alpha-1-antichymotrypsin                                                                                                                                                                                                                                        ,SERPINA3                                                                                                                                                                                                                                                        ,P01011                                            ,      14860,               47.78,        303,               97.43
P01023                                                                                              ,A2MG                                                                                                ,Alpha-2-macroglobulin                                                                                                                                                                                                                                           ,A2M                                                                                                                                                                                                                                                             ,P01023                                            ,      22173,               71.30,        303,               97.43
P01859                                                                                              ,IGHG2                                                                                               ,Immunoglobulin heavy constant gamma 2                                                                                                                                                                                                                           ,IGHG2                                                                                                                                                                                                                                                           ,P01859                                            ,      55591,              178.75,        303,               97.43
P02649                                                                                              ,APOE                                                                                                ,Apolipoprotein E                                                                                                                                                                                                                                                ,APOE                                                                                                                                                                                                                                                            ,P02649                                            ,       8529,               27.42,        303,               97.43
P02760                                                                                              ,AMBP                                                                                                ,Protein AMBP                                                                                                                                                                                                                                                    ,AMBP                                                                                                                                                                                                                                                            ,P02760                                            ,       6630,               21.32,        303,               97.43
P02763                                                                                              ,A1AG1                                                                                               ,Alpha-1-acid glycoprotein 1                                                                                                                                                                                                                                     ,ORM1                                                                                                                                                                                                                                                            ,P02763                                            ,      42231,              135.79,        303,               97.43
P02766                                                                                              ,TTHY                                                                                                ,Transthyretin                                                                                                                                                                                                                                                   ,TTR                                                                                                                                                                                                                                                             ,P02766                                            ,      48991,              157.53,        303,               97.43
P02768                                                                                              ,ALBU                                                                                                ,Albumin                                                                                                                                                                                                                                                         ,ALB                                                                                                                                                                                                                                                             ,P02768                                            ,    1286955,             4138.12,        303,               97.43
P02787                                                                                              ,TRFE                                                                                                ,Serotransferrin                                                                                                                                                                                                                                                 ,TF                                                                                                                                                                                                                                                              ,P02787                                            ,     256036,              823.27,        303,               97.43
P25311                                                                                              ,ZA2G                                                                                                ,Zinc-alpha-2-glycoprotein                                                                                                                                                                                                                                       ,AZGP1                                                                                                                                                                                                                                                           ,P25311                                            ,      10072,               32.39,        303,               97.43
P41222                                                                                              ,PTGDS                                                                                               ,Prostaglandin-H2 D-isomerase                                                                                                                                                                                                                                    ,PTGDS                                                                                                                                                                                                                                                           ,P41222                                            ,      50435,              162.17,        303,               97.43
Q12805                                                                                              ,FBLN3                                                                                               ,EGF-containing fibulin-like extracellular matrix protein 1                                                                                                                                                                                                      ,EFEMP1                                                                                                                                                                                                                                                          ,Q12805                                            ,      14216,               45.71,        302,               97.11
P36955                                                                                              ,PEDF                                                                                                ,Pigment epithelium-derived factor                                                                                                                                                                                                                               ,SERPINF1                                                                                                                                                                                                                                                        ,P36955                                            ,      48039,              154.47,        302,               97.11
P02790                                                                                              ,HEMO                                                                                                ,Hemopexin                                                                                                                                                                                                                                                       ,HPX                                                                                                                                                                                                                                                             ,P02790                                            ,      61466,              197.64,        302,               97.11
P02765                                                                                              ,FETUA                                                                                               ,Alpha-2-HS-glycoprotein                                                                                                                                                                                                                                         ,AHSG                                                                                                                                                                                                                                                            ,P02765                                            ,      20957,               67.39,        302,               97.11
P02647                                                                                              ,APOA1                                                                                               ,Apolipoprotein A-I                                                                                                                                                                                                                                              ,APOA1                                                                                                                                                                                                                                                           ,P02647                                            ,      30125,               96.86,        302,               97.11
P0DOX7                                                                                              ,IGK                                                                                                 ,Immunoglobulin kappa light chain                                                                                                                                                                                                                                ,NULL                                                                                                                                                                                                                                                            ,P0DOX7                                            ,      34293,              110.27,        302,               97.11
P10909                                                                                              ,CLUS                                                                                                ,Clusterin                                                                                                                                                                                                                                                       ,CLU                                                                                                                                                                                                                                                             ,P10909                                            ,      28944,               93.07,        302,               97.11
P01834                                                                                              ,IGKC                                                                                                ,Immunoglobulin kappa constant                                                                                                                                                                                                                                   ,IGKC                                                                                                                                                                                                                                                            ,P01834                                            ,      50125,              161.17,        302,               97.11
P00450                                                                                              ,CERU                                                                                                ,Ceruloplasmin                                                                                                                                                                                                                                                   ,CP                                                                                                                                                                                                                                                              ,P00450                                            ,      51250,              164.79,        302,               97.11
P01024                                                                                              ,CO3                                                                                                 ,Complement C3                                                                                                                                                                                                                                                   ,C3                                                                                                                                                                                                                                                              ,P01024                                            ,      68042,              218.78,        301,               96.78
P01034                                                                                              ,CYTC                                                                                                ,Cystatin-C                                                                                                                                                                                                                                                      ,CST3                                                                                                                                                                                                                                                            ,P01034                                            ,      25036,               80.50,        301,               96.78
P02774                                                                                              ,VTDB                                                                                                ,Vitamin D-binding protein                                                                                                                                                                                                                                       ,GC                                                                                                                                                                                                                                                              ,P02774                                            ,      33495,              107.70,        301,               96.78
P05090                                                                                              ,APOD                                                                                                ,Apolipoprotein D                                                                                                                                                                                                                                                ,APOD                                                                                                                                                                                                                                                            ,P05090                                            ,       3169,               10.19,        301,               96.78
P05155                                                                                              ,IC1                                                                                                 ,Plasma protease C1 inhibitor                                                                                                                                                                                                                                    ,SERPING1                                                                                                                                                                                                                                                        ,P05155                                            ,      10669,               34.31,        301,               96.78
P22352                                                                                              ,GPX3                                                                                                ,Glutathione peroxidase 3                                                                                                                                                                                                                                        ,GPX3                                                                                                                                                                                                                                                            ,P22352                                            ,      18615,               59.86,        301,               96.78
Q9UBP4                                                                                              ,DKK3                                                                                                ,Dickkopf-related protein 3                                                                                                                                                                                                                                      ,DKK3                                                                                                                                                                                                                                                            ,Q9UBP4                                            ,      16313,               52.45,        301,               96.78
Q9UBM4                                                                                              ,OPT                                                                                                 ,Opticin                                                                                                                                                                                                                                                         ,OPTC                                                                                                                                                                                                                                                            ,Q9UBM4                                            ,      11585,               37.25,        301,               96.78
P06396                                                                                              ,GELS                                                                                                ,Gelsolin                                                                                                                                                                                                                                                        ,GSN                                                                                                                                                                                                                                                             ,P06396                                            ,      17309,               55.66,        300,               96.46
P02749                                                                                              ,APOH                                                                                                ,Beta-2-glycoprotein 1                                                                                                                                                                                                                                           ,APOH                                                                                                                                                                                                                                                            ,P02749                                            ,      17332,               55.73,        300,               96.46
P10745                                                                                              ,RET3                                                                                                ,Retinol-binding protein 3                                                                                                                                                                                                                                       ,RBP3                                                                                                                                                                                                                                                            ,P10745                                            ,      47022,              151.20,        300,               96.46
P10451                                                                                              ,OSTP                                                                                                ,Osteopontin                                                                                                                                                                                                                                                     ,SPP1                                                                                                                                                                                                                                                            ,P10451                                            ,       9230,               29.68,        300,               96.46
P01008                                                                                              ,ANT3                                                                                                ,Antithrombin-III                                                                                                                                                                                                                                                ,SERPINC1                                                                                                                                                                                                                                                        ,P01008                                            ,      18533,               59.59,        300,               96.46
P00751                                                                                              ,CFAB                                                                                                ,Complement factor B                                                                                                                                                                                                                                             ,CFB                                                                                                                                                                                                                                                             ,P00751                                            ,      15867,               51.02,        299,               96.14
P00747                                                                                              ,PLMN                                                                                                ,Plasminogen                                                                                                                                                                                                                                                     ,PLG                                                                                                                                                                                                                                                             ,P00747                                            ,      13189,               42.41,        299,               96.14
P00734                                                                                              ,THRB                                                                                                ,Prothrombin                                                                                                                                                                                                                                                     ,F2                                                                                                                                                                                                                                                              ,P00734                                            ,       9446,               30.37,        299,               96.14
P01019                                                                                              ,ANGT                                                                                                ,Angiotensinogen                                                                                                                                                                                                                                                 ,AGT                                                                                                                                                                                                                                                             ,P01019                                            ,       8064,               25.93,        299,               96.14
P01860                                                                                              ,IGHG3                                                                                               ,Immunoglobulin heavy constant gamma 3                                                                                                                                                                                                                           ,IGHG3                                                                                                                                                                                                                                                           ,P01860                                            ,      42150,              135.53,        299,               96.14
O94985                                                                                              ,CSTN1                                                                                               ,Calsyntenin-1                                                                                                                                                                                                                                                   ,CLSTN1                                                                                                                                                                                                                                                          ,O94985                                            ,       9142,               29.40,        299,               96.14
P02750                                                                                              ,A2GL                                                                                                ,Leucine-rich alpha-2-glycoprotein                                                                                                                                                                                                                               ,LRG1                                                                                                                                                                                                                                                            ,P02750                                            ,       5543,               17.82,        299,               96.14
P02652                                                                                              ,APOA2                                                                                               ,Apolipoprotein A-II                                                                                                                                                                                                                                             ,APOA2                                                                                                                                                                                                                                                           ,P02652                                            ,       7808,               25.11,        299,               96.14
P05156                                                                                              ,CFAI                                                                                                ,Complement factor I                                                                                                                                                                                                                                             ,CFI                                                                                                                                                                                                                                                             ,P05156                                            ,       5757,               18.51,        299,               96.14
P02753                                                                                              ,RET4                                                                                                ,Retinol-binding protein 4                                                                                                                                                                                                                                       ,RBP4                                                                                                                                                                                                                                                            ,P02753                                            ,       5563,               17.89,        299,               96.14
P04196                                                                                              ,HRG                                                                                                 ,Histidine-rich glycoprotein                                                                                                                                                                                                                                     ,HRG                                                                                                                                                                                                                                                             ,P04196                                            ,       9134,               29.37,        299,               96.14
P04217                                                                                              ,A1BG                                                                                                ,Alpha-1B-glycoprotein                                                                                                                                                                                                                                           ,A1BG                                                                                                                                                                                                                                                            ,P04217                                            ,      19875,               63.91,        299,               96.14
P19652                                                                                              ,A1AG2                                                                                               ,Alpha-1-acid glycoprotein 2                                                                                                                                                                                                                                     ,ORM2                                                                                                                                                                                                                                                            ,P19652                                            ,      24612,               79.14,        299,               96.14
P23142                                                                                              ,FBLN1                                                                                               ,Fibulin-1                                                                                                                                                                                                                                                       ,FBLN1                                                                                                                                                                                                                                                           ,P23142                                            ,       5642,               18.14,        298,               95.82
P36222                                                                                              ,CH3L1                                                                                               ,Chitinase-3-like protein 1                                                                                                                                                                                                                                      ,CHI3L1                                                                                                                                                                                                                                                          ,P36222                                            ,       5825,               18.73,        298,               95.82
P01876                                                                                              ,IGHA1                                                                                               ,Immunoglobulin heavy constant alpha 1                                                                                                                                                                                                                           ,IGHA1                                                                                                                                                                                                                                                           ,P01876                                            ,      16939,               54.47,        298,               95.82
P07339                                                                                              ,CATD                                                                                                ,Cathepsin D                                                                                                                                                                                                                                                     ,CTSD                                                                                                                                                                                                                                                            ,P07339                                            ,      11002,               35.38,        298,               95.82
P07998                                                                                              ,RNAS1                                                                                               ,Ribonuclease pancreatic                                                                                                                                                                                                                                         ,RNASE1                                                                                                                                                                                                                                                          ,P07998                                            ,       9512,               30.59,        298,               95.82
